Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-MG-H00-002,Madagascar - Industrialisation and Financial Sector Support Project (PAISF),"12,080,000.00",Madagascar,28 Oct 2020,Approved,African Development Fund,Finance,Sovereign
P-Z1-H00-063,Multinational - Domestic debt markets development in the West African Monetary Zone,"1,500,000.00",Multinational,13 Oct 2020,Implementation,Fragile States Facility,Finance,Sovereign
P-MG-HAZ-001,Madagascar - SME Business Linkages Program,"1,000,000.00",Madagascar,15 May 2020,Implementation,Fragile States Facility,Finance,Sovereign
P-MU-H00-004,Mauritius - Stock Exchange Mauritius (SEM) Project,"430,000.00",Mauritius,27 Apr 2020,Implementation,Middle Income Countries Fund,Finance,Sovereign
P-AO-HAB-009,Angola - Line of Credit to « Banco Millennium Atlantico SA »,"23,415,605.04",Angola,15 Apr 2020,Approved,African Development Bank,Finance,Non Sovereign
P-MR-HZ0-005,Mauritania - Financial Infrastructure Modernisation Support Project (PAMIF) - Additionnal Loan,"400,000.00",Mauritania,01 Apr 2020,Approved,African Development Fund,Finance,Sovereign
P-Z1-H00-057,Multinational - WAEMU Regional Mortgage Refinancing Company (CRRH),"7,978,171.72",Multinational,18 Mar 2020,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HZ0-037,Multinational - Small- and Medium-sized Enterprise (SME) Business Linkages on East Africa Crude Oil Pipeline Project,"1,086,959.78",Multinational,11 Feb 2020,Implementation,Fund for African Private Sector Assistance,Finance,Sovereign
P-Z1-HZ0-045,Uganda and Tanzania : MSMEs Business Linkage on East African Crude Oil Pipeline,"363,451.33",Multinational,11 Feb 2020,Approved,Fund for African Private Sector Assistance,Finance,Sovereign
P-EG-H00-005,Egypt - Line of Credit to «Corporate Leasing Company (Corplease) »,"10,976,064.86",Egypt,29 Jan 2020,Approved,African Development Bank,Finance,Non Sovereign
P-ML-HZ0-001,Mali - African Trade Insurance Agency (ATI): Country Membership Programme,"7,290,000.00",Mali,05 Dec 2019,Approved,African Development Fund,Finance,Sovereign
P-KE-HAB-030,Kenya - Equity Group Holdings Plc,"73,173,765.74",Kenya,28 Nov 2019,Approved,African Development Bank,Finance,Non Sovereign
P-MA-HAA-012,"Morocco - ""Fonds d’Equipement Communal (FEC)""","79,781,717.22",Morocco,28 Nov 2019,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HB0-064,Multinational – Project for Digitisation of Government Payments in the Mano River Union (DIGIGOV_MRU) countries – Guinea,"1,258,000.00",Multinational,25 Nov 2019,Implementation,Fragile States Facility,Finance,Sovereign
P-Z1-HB0-071,SIERRA LEONE - Government Payments Digitization in Mano River Union,"279,000.00",Multinational,25 Nov 2019,Approved,Fragile States Facility,Finance,Sovereign
P-Z1-HB0-072,GOVERNMENT PAYMENTS (P2G & G2P) DIGITIZATION IN MANO RIVER UNION - LIBERIA,"463,000.00",Multinational,25 Nov 2019,Approved,Fragile States Facility,Finance,Sovereign
P-Z1-H00-072,Multinational - Projet d’Appui au Démarrage du Marché Financier Unifié d’Afrique Centrale (Projet AMFUAC),"783,328.00",Multinational,21 Nov 2019,Approved,Middle Income Countries Fund,Finance,Sovereign
P-GN-HA0-001,Guinea - Vista Bank - Africa SME Programme,"5,853,901.26",Guinea,24 Sep 2019,Approved,African Development Bank,Finance,Non Sovereign
P-SN-HA0-002,Sénégal - Banque Nationale pour le Développement Economique (BNDE),"11,967,257.58",Senegal,24 Sep 2019,Approved,African Development Bank,Finance,Non Sovereign
,,,,,,,,
P-KE-HAB-026,Kenya - Credit Bank PLC (CBP),"5,666,565.14",Kenya,17 Jul 2019,Approved,African Development Bank,Finance,Non Sovereign
P-RW-HAB-006,"Rwanda - ""Compagnie Générale de Banque PLC"" (COGEBANQUE)","10,244,327.20",Rwanda,17 Jul 2019,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HAA-092,Multinational - COMESA Regional Trade and Project Finance Support Facility - Eastern and Southern African Trade and Development Bank (TDB),"36,586,882.87",Multinational,17 Jul 2019,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HAA-093,Multinational - COMESA Regional Trade and Project Finance Support Facility - Eastern and Southern African Trade and Development Bank (TDB),"146,347,531.48",Multinational,17 Jul 2019,Implementation,African Development Bank,Finance,Non Sovereign
P-Z1-HAA-094,Multinational - COMESA Regional Trade and Project Finance Support Facility - Eastern and Southern African Trade and Development Bank (TDB),"36,586,882.87",Multinational,17 Jul 2019,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HAB-073,Regional - Attijariwafa Bank - Partnership for Trade Development in Africa,"79,781,717.22",Multinational,17 Jul 2019,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HZ0-038,Multinational - East African Community Payment and Settlement Systems Integration Project (EAC-PSSIP) - South Sudan,"4,800,000.00",Multinational,17 Jul 2019,Implementation,African Development Fund,Finance,Sovereign
P-MZ-HAB-004,"Mozambique - Line of Credit to ""Banco Comercial E De Investimentos S.A. (BCI)""","21,952,129.72",Mozambique,15 Jul 2019,Approved,African Development Bank,Finance,Non Sovereign
P-TN-HAB-013,Tunisia - BH Bank (formerly known as Banque de l’Habitat),"84,148,876.19",Tunisia,26 Jun 2019,Approved,African Development Bank,Finance,Sovereign
P-MG-HZ0-001,Madagascar - Africa Disaster Risks Financing Progamme (ADRIFI),"1,500,000.00",Madagascar,30 May 2019,Implementation,Fragile States Facility,Finance,Sovereign
P-TN-HAB-009,Tunisia - Amen Bank,"12,593,612.52",Tunisia,29 May 2019,Approved,African Development Bank,Finance,Non Sovereign
P-TN-HAB-015,Tunisia - Amen Bank,"29,385,095.88",Tunisia,29 May 2019,Approved,African Development Bank,Finance,Non Sovereign
P-KE-HB0-009,Kenya - Kenya Mortgage Refinance Company (KMRC),"75,461,573.29",Kenya,15 May 2019,Implementation,African Development Bank,Finance,Sovereign
P-TN-HZ0-005,Tunisia - Financial Sector Modernisation Support Programme II - (PAMSFI II),"95,319,040.77",Tunisia,15 May 2019,Approved,African Development Bank,Finance,Sovereign
P-BW-HAA-004,Botswana - Botswana Development Corporation Limited (BDC),"57,998,332.55",Botswana,24 Apr 2019,Implementation,African Development Bank,Finance,Non Sovereign
P-NG-H00-011,Nigeria - Infrastructure Credit Guarantee Company Limited (INFRACREDIT),"10,717,644.69",Nigeria,05 Apr 2019,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HZ0-034 ,Multinational - Africa Disaster Risk Financing (ADRiFi) Programme in The Gambia,"900,000.00",Multinational,27 Feb 2019,Implementation,Fragile States Facility,Finance,Sovereign
P-BF-HAA-001,Burkina Faso - Support Project for Establishing an Agribusiness Bank (PACBA),"15,000,000.00",Burkina Faso,14 Dec 2018,Implementation,African Development Fund,Finance,Sovereign
P-Z1-HAA-091,Multinational - Capacity Building Support Project of the Maghreb Bank for Investment and Foreign Trade (BMICE),"356,000.00",Multinational,12 Dec 2018,Implementation,Middle Income Countries Fund,Finance,Sovereign
P-NG-HAB-042,Nigeria - Fidelity Bank PLC,"36,248,957.84",Nigeria,10 Oct 2018,Implementation,African Development Bank,Finance,Non Sovereign
,,,,,,,,
P-UG-HAA-006,Uganda - Uganda Development Bank Limited,"3,541,603.21",Uganda,20 Jul 2018,Implementation,African Development Bank,Finance,Non Sovereign
P-UG-HAA-007,Uganda - Uganda Development Bank Limited,"10,874,687.35",Uganda,20 Jul 2018,Implementation,African Development Bank,Finance,null
P-MA-HA0-005,"Morocco - ""Groupe Banque Centrale Populaire""","83,957,416.80",Morocco,27 Jun 2018,Implementation,African Development Bank,Finance,Non Sovereign
