Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Why watching  home instead of cinema?, setup watching home, usuall way to watch movies at home, favorite Streaming Platform, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,Internet Sites,TV Entertainment Programs
This month,Three or four times,Social media,I don't go to the Cinema,Quality of Story,,5,4,3,2,3,2,2,5,1,Maybe,Internet Sites,Sometimes,4,3,3,1,4,1,Home,,,,,19,Data Science,Female,0,0,0,0
This month,Three or four times,Recommended ,I don't go to the Cinema,Genre,,4,5,5,1,4,3,5,5,2,Usually ,Trailers,Sometimes,4,5,5,5,3,2,Home,,,,,20,Data Science,Male,0,1,0,0
Less than a week,Once or twice,Recommended ,Once or Twice a year,Quality of Story,,5,5,2,3,1,3,4,5,2,Usually ,Internet Sites,Sometimes,5,4,3,4,1,3,Home,,,,,20,Data Science,Male,0,0,1,0
Less than a week,Once or twice,Social Media,Once a month,Quality of Story,,5,4,5,2,1,5,4,3,2,Usually ,Internet Sites,Sometimes,4,5,2,1,4,5,Home,,,,,20,Data Science,Male,0,0,1,0
Less than a week,Less than once,Social Media,I don't go to the Cinema,Quality of Story,,3,5,3,3,3,4,5,3,5,Usually ,Internet Sites,Sometimes,5,5,5,3,3,5,Home,,,,,20,Data Science,Female,0,0,0,0
Last Month,Once or twice,Social Media,Once or Twice a year,Quality of Story,,5,5,3,4,5,2,5,2,4,Sometimes,Internet Sites,Sometimes,5,5,5,4,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,More than four times,Recommended ,Once or Twice a year,Quality of Story,,3,4,5,3,3,1,4,5,5,Sometimes,Viral Videos,Sometimes,5,4,3,3,3,4,Home,,,,,21,Data Science,Female,0,1,0,0
This month,Three or four times,Social Media,Once or Twice a year,Quality of Story,,5,5,2,2,3,2,5,1,3,Usually ,Trailers,Usually,5,5,5,4,3,5,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,More than four times,Trailers,Once a month,Quality of Story,,4,4,1,4,4,3,5,5,3,Sometimes,Trailers,Sometimes,4,5,3,3,2,5,Home,,,,,20,Data Science,Female,0,1,0,0
Less than a week,More than four times,Social Media,Once or Twice a year,Quality of Story,,2,2,5,5,5,3,5,3,5,Sometimes,Internet Sites,Sometimes,4,4,2,4,5,5,Home,,,,,19,Data Science,Female,0,0,1,0
Less than a week,More than four times,Internet Sites,Once or Twice a year,Directing,,3,3,2,3,3,1,3,1,2,Usually ,Internet Sites,Sometimes,3,4,1,1,4,3,Home,,,,,21,Data Science,Female,0,0,0,0
Last Month,Three or four times,Recommended ,Once or Twice a year,Quality of Story,,5,4,4,5,1,4,4,3,3,Sometimes,Trailers,Sometimes,5,5,4,4,3,5,Home,,,,,20,Data Science,Female,0,0,0,0
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,,1,1,4,4,3,1,1,2,3,Sometimes,Trailers,Sometimes,3,3,2,3,4,4,Home,,,,,21,Data Science,Female,0,0,1,0
Last Month,Once or twice,Recommended ,I don't go to the Cinema,Quality of Story,,1,2,4,3,4,2,4,3,4,Sometimes,Internet Sites,Sometimes,3,3,4,3,2,4,Home,,,,,20,Data Science,Female,0,0,0,0
This month,Three or four times,Recommended ,Once or Twice a year,Genre,,5,4,5,4,2,2,3,2,5,Usually ,Trailers,Sometimes,4,5,3,3,5,5,Home,,,,,20,Data Science,Male,0,0,0,0
I don't watch movies often,Less than once,Social Media,Once or Twice a year,Quality of Story,,3,3,1,1,1,2,3,1,2,Never,Internet Sites,Sometimes,4,4,2,5,5,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Recommended ,Once or Twice a year,Genre,,4,3,2,2,1,4,3,1,2,Sometimes,Internet Sites,Usually,3,4,1,1,5,3,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Social Media,I don't go to the Cinema,Quality of Story,,1,3,5,2,5,1,1,3,4,Sometimes,Internet Sites,Sometimes,4,1,3,3,4,5,Home,,,,,19,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,,2,5,5,5,3,1,4,3,5,Sometimes,Viral Videos,Sometimes,3,5,1,1,4,4,Home,,,,,20,Data Science,Female,0,0,0,0
This month,Three or four times,Social Media,Once or Twice a year,Quality of Story,,3,4,5,5,5,4,3,2,5,Sometimes,Internet Sites,Sometimes,5,5,2,2,5,5,Home,,,,,20,Data Science,Female,0,0,0,0
I don't watch movies often,Less than once,Recommended ,I don't go to the Cinema,Acting,,4,5,5,1,1,4,5,1,1,Sometimes,Trailers,Usually,5,4,5,3,4,5,Home,,,,,21,Data Science,Male,0,0,0,0
Less than a week,More than four times,Recommended ,Once or Twice a year,Directing,,5,5,5,5,5,5,5,5,4,Sometimes,Internet Sites,Sometimes,2,1,5,1,3,3,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Social Media,I don't go to the Cinema,Quality of Story,,4,4,5,5,5,2,3,1,5,Usually ,Trailers,Sometimes,4,5,3,3,5,5,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,,3,3,2,3,1,1,1,1,2,Usually ,Internet Sites,Sometimes,1,5,2,5,5,5,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,More than four times,Social Media,Once or Twice a year,Quality of Story,,3,3,5,1,1,3,2,4,3,Usually ,Viral Videos,Sometimes,4,4,4,2,3,5,Home,,,,,19,Data Science,Male,0,0,0,0
Last Month,Less than once,Social Media,I don't go to the Cinema,Quality of Story,,3,3,3,4,4,1,1,1,3,Sometimes,Trailers,Sometimes,5,3,5,3,5,5,Home,,,,,19,Data Science,Female,0,0,0,0
Less than a week,Three or four times,Recommended ,Once or Twice a year,Quality of Story,,2,3,3,3,3,3,2,1,3,Usually ,Trailers,Sometimes,2,3,1,1,2,4,Home,,,,,21,Data Science,Female,0,0,0,0
Less than a week,More than four times,Social Media,Once or Twice a year,Quality of Story,,5,5,5,4,4,2,5,4,2,Usually ,Viral Videos,Sometimes,4,3,1,1,4,5,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,More than four times,Social Media,I don't go to the Cinema,Acting,,5,5,1,3,1,4,4,1,1,Usually ,Viral Videos,Never,4,5,4,2,3,5,Home,,,,,20,Data Science,Male,0,0,0,0
This month,Three or four times,Trailers,Once or Twice a year,Genre,,5,5,4,4,3,4,5,3,3,Sometimes,Trailers,Sometimes,5,5,4,2,4,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Trailers,I don't go to the Cinema,Quality of Story,,5,5,5,2,2,4,5,2,4,Usually ,Trailers,Sometimes,5,5,3,3,3,5,Home,,,,,20,Data Science,Male,0,0,0,0
I don't watch movies often,Less than once,Recommended ,Once or Twice a year,Acting,,4,4,1,2,3,1,4,1,2,Usually ,Trailers,Usually,3,4,3,2,4,4,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,More than four times,Recommended ,Once or Twice a year,Quality of Story,,4,5,3,1,1,3,5,1,4,Usually ,Trailers,Sometimes,3,4,1,1,4,5,Home,,,,,21,Data Science,Female,0,1,0,0
This month,Once or twice,Social Media,Once or Twice a year,Acting,,2,4,2,1,2,5,5,4,3,Usually ,Internet Sites,Sometimes,5,4,4,4,4,5,Home,,,,,19,Data Science,Female,0,0,0,0
Less than a week,More than four times,Social Media,I don't go to the Cinema,Quality of Story,,4,4,4,3,2,3,4,2,1,Sometimes,Merchandising,Usually,3,4,1,1,2,4,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Recommended ,I don't go to the Cinema,Quality of Story,,5,5,5,2,1,1,5,5,1,Sometimes,Viral Videos,Usually,1,1,1,1,5,5,Home,,,,,19,Data Science,Male,0,1,0,0
Less than a week,More than four times,Social Media,Once a month,Acting,,3,2,4,4,4,3,4,1,3,Usually ,Viral Videos,Sometimes,2,3,2,4,4,4,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Internet Sites,Once or Twice a year,Acting,,5,4,2,4,5,3,4,1,1,Sometimes,Internet Sites,Usually,4,5,1,1,2,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Recommended ,Once or Twice a year,Quality of Story,,4,5,3,1,1,3,5,1,5,Never,Internet Sites,Sometimes,4,3,2,2,2,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Trailers,Once or Twice a year,Acting,,5,5,1,1,1,5,5,3,3,Usually ,Trailers,Sometimes,4,5,3,5,3,5,Home,,,,,19,Data Science,Male,0,0,1,0
Less than a week,More than four times,Recommended ,I don't go to the Cinema,Quality of Story,,5,5,3,5,1,4,5,3,1,Sometimes,Merchandising,Sometimes,5,3,5,4,5,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Recommended ,I don't go to the Cinema,Quality of Story,,4,5,1,5,1,4,1,1,3,Usually ,Trailers,Sometimes,3,5,1,3,5,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Recommended ,Once or Twice a year,Acting,,3,1,4,4,3,1,1,3,3,Usually ,Viral Videos,Sometimes,2,2,1,1,4,3,Home,,,,,19,Data Science,Female,0,0,1,0
Less than a week,More than four times,Internet Sites,I don't go to the Cinema,Quality of Story,,4,5,1,1,2,1,5,3,3,Usually ,Trailers,Sometimes,1,5,1,2,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
I don't watch movies often,Less than once,Trailers,I don't go to the Cinema,Quality of Story,,2,3,1,1,3,3,3,3,2,Sometimes,Internet Sites,Sometimes,4,5,1,2,3,5,Home,,,,,20,Data Science,Female,0,0,1,0
This month,Once or twice,Trailers,Once a month,Genre,,2,4,4,5,2,2,4,5,4,Sometimes,Internet Sites,Almost Always,5,3,3,3,4,5,Home,,,,,19,Data Science,Female,0,0,1,0
This month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,,5,5,3,3,1,5,5,2,4,Usually ,Internet Sites,Sometimes,3,5,5,4,3,5,Home,,,,,20,Data Science,Female,0,0,1,0
Less than a week,More than four times,Recommended ,Once a month,Quality of Story,,3,4,2,2,4,3,1,1,2,Sometimes,Trailers,Sometimes,4,3,2,2,3,4,Home,,,,,19,Data Science,Female,0,0,0,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Quality of Story,,1,2,3,4,2,1,1,2,3,Usually ,Trailers,Sometimes,2,2,4,2,3,4,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,Less than once,Recommended ,I don't go to the Cinema,Acting,,5,2,5,4,4,2,3,3,4,Sometimes,Internet Sites,Sometimes,4,5,2,2,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,,1,5,3,3,4,3,5,2,3,Usually ,Viral Videos,Sometimes,3,4,2,2,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
This month,Three or four times,Social Media,Once or Twice a year,Acting,,1,2,4,3,4,1,3,3,4,Usually ,Viral Videos,Sometimes,4,3,1,3,4,4,Home,,,,,20,Data Science,Female,0,0,1,0
Less than a week,More than four times,Social Media,Once or Twice a year,Quality of Story,,2,3,1,4,4,4,4,1,2,Usually ,Viral Videos,Sometimes,4,5,1,1,3,5,Home,,,,,21,Data Science,Female,0,0,1,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Acting,,4,5,2,5,4,1,4,2,3,Usually ,Viral Videos,Sometimes,5,5,3,1,5,5,Home,,,,,20,Data Science,Female,0,0,0,0
Last Month,Less than once,Social Media,Once or Twice a year,Acting,,2,4,5,4,4,1,4,1,2,Usually ,Viral Videos,Usually,4,5,4,2,4,5,Home,,,,,20,Data Science,Female,0,0,1,0
Less than a week,More than four times,Social Media,Once a month,Quality of Story,,5,3,5,4,5,5,3,2,2,Sometimes,Viral Videos,Sometimes,5,4,2,2,4,5,Home,,,,,20,Data Science,Male,0,0,0,0
I don't watch movies often,Less than once,Trailers,Once a month,Quality of Story,,1,2,2,3,1,3,1,3,3,Sometimes,Print Advertising ,Usually,1,1,3,3,2,2,Home,,,,,20,Data Science,Female,0,0,0,0
I don't watch movies often,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,,3,4,5,4,5,1,2,3,2,Sometimes,Viral Videos,Sometimes,4,5,3,2,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,More than four times,Recommended ,Once or Twice a year,Quality of Story,,5,4,3,1,1,5,5,1,1,Sometimes,Print Advertising ,Sometimes,5,4,5,2,5,5,Home,,,,,21,Data Science,Female,0,0,0,0
Last Month,Once or twice,Internet Sites,I don't go to the Cinema,Quality of Story,,5,4,5,3,2,1,4,1,4,Usually ,Internet Sites,Sometimes,4,3,4,3,4,5,Home,,,,,21,Data Science,Male,0,0,0,0
This month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,,5,5,4,4,2,4,5,3,3,Sometimes,Trailers,Never,2,5,2,3,5,5,Home,,,,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Quality of Story,,5,3,4,2,2,4,2,1,5,Usually ,Trailers,Sometimes,4,3,3,4,2,5,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Internet Sites,I don't go to the Cinema,Directing,,5,1,1,5,5,5,1,5,1,Sometimes,Internet Sites,Sometimes,5,5,5,1,1,5,Home,,,,,21,Data Science,Male,0,0,1,0
This month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,,5,5,3,1,1,1,5,1,1,Usually ,Internet Sites,Never,3,4,5,5,5,5,Home,,,,,20,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Acting,,2,4,2,3,4,4,4,1,2,Usually ,Internet Sites,Sometimes,1,5,1,1,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Trailers,Once or Twice a year,Quality of Story,,3,3,2,3,2,1,1,1,2,Usually ,Trailers,Usually,5,4,4,2,3,5,Home,,,,,21,Data Science,Male,0,1,0,0
Less than a week,Three or four times,Recommended ,I don't go to the Cinema,Quality of Story,,1,1,4,5,5,1,3,4,4,Sometimes,Internet Sites,Sometimes,5,5,3,1,3,5,Home,,,,,20,Data Science,Female,0,0,1,0
Less than a week,Three or four times,Social Media,More than once a month,Quality of Story,,3,3,1,3,2,2,1,2,1,Usually ,Trailers,Sometimes,4,5,5,3,4,5,Home,,,,,20,Data Science,Female,0,0,0,0
I don't watch movies often,Less than once,Trailers,I don't go to the Cinema,Quality of Story,,4,5,5,5,1,5,5,4,5,Never,Merchandising,Sometimes,5,5,5,5,5,5,Home,,,,,24,Data Science,Female,0,0,0,0
Less than a week,Three or four times,Recommended ,I don't go to the Cinema,Quality of Story,,2,2,3,3,3,1,3,2,3,Sometimes,Internet Sites,Sometimes,2,2,2,3,3,3,Home,,,,,20,Data Science,Female,0,0,1,0
I don't watch movies often,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,Musical,3,4,5,4,5,1,2,3,2,Sometimes,Viral Videos,Sometimes,4,5,3,2,4,5,Home,It's more cozy and money saver,I watch movies in bed in my laptop,Downloaded from the Internet,Netflix,20,Data Science,Female,0,0,0,0
Less than a week,More than four times,Social Media,Once or Twice a year,Acting,no,2,3,4,5,3,3,4,2,3,Sometimes,Internet Sites,Sometimes,4,5,4,1,3,3,Home,feeling more comfortable ,laptop,Downloaded from the Internet,akoam,20,Data Science,Male,0,0,0,0
Last Month,Less than once,Social Media,Once or Twice a year,Quality of Story,comedy ig,3,3,5,2,1,2,4,3,3,Sometimes,Internet Sites,Never,1,1,1,1,3,4,Home,cuz i'm broke,no just on tv by screen mirroring,Downloaded from the Internet,any possible site,19,Translation,Female,0,0,0,0
Last Month,More than four times,Internet Sites,I don't go to the Cinema,Genre,Romantic,1,3,4,5,5,3,4,1,5,Never,Viral Videos,Sometimes,4,5,5,5,5,5,Home,More comfortable ,No only my room,Downloaded from the Internet,Not a specific one ,20,Data Science,Female,0,0,0,0
Less than a week,Less than once,Recommended ,Once or Twice a year,Acting,Yup,5,4,5,2,2,2,4,2,4,Usually ,Trailers,Sometimes,3,3,3,3,3,3,Home,Seve Time,No,Downloaded from the Internet,Cinema 4 u,20,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Recommended ,I don't go to the Cinema,Directing,?????,1,5,5,4,5,2,4,3,5,Usually ,Viral Videos,Sometimes,5,5,2,1,4,5,Home,Comfort,On my bedroom with my snacks ,Downloaded from the Internet,Egybest,20,Data Science,Female,0,0,0,0
