"Timestamp","When was the last time you watched a movie?","How often do you watch movies (In a Month)?","Most of the movies you wanted to watch was because of...","How often do you go to the Cinema?","What is your favorite movie?","Why would someone want to watch this movie?","What do you like most about your favorite movie?","What's the genre of your favorite movie?","Are there any movie genres that you think are underrated or underappreciated?","1 = Least Favorite
5 = Most Favorite [Action]","1 = Least Favorite
5 = Most Favorite [Adventure]","1 = Least Favorite
5 = Most Favorite [Comedy]","1 = Least Favorite
5 = Most Favorite [Drama]","1 = Least Favorite
5 = Most Favorite [Romance]","1 = Least Favorite
5 = Most Favorite [Horror]","1 = Least Favorite
5 = Most Favorite [Sci-fi or Fantasy]","1 = Least Favorite
5 = Most Favorite [Musical]","1 = Least Favorite
5 = Most Favorite [Family]","Do you usually research a new movie before watching it?","If Yes, Which of the following sources do you use?","Which form of Movie Advertising do you find most effective?","How often does a movie disappoint your expectations?","1 = Least Important
5 = Most Important [Cast]","1 = Least Important
5 = Most Important [Genre]","1 = Least Important
5 = Most Important [Director]","1 = Least Important
5 = Most Important [Studio]","1 = Least Important
5 = Most Important [Reviews]","1 = Least Important
5 = Most Important [Quality of Story]","Where do you usually watch movies","When do you usually decide which movie you are going to see?","Most of the movies you wanted to watch was because of...","When going to the Cinema, you usually go..","Who do you usually go to the cinema with?","What do you usually do if you arrive to the Cinema and your movie has been sold out?","Do the Seats and Snacks of the Cinema usually have an effect on how much you enjoy a movie?","Why do you prefer watching movies at home instead of going to the cinema?","What's the genre you prefer watching home?","What kind of setup do you have for watching movies at home? Do you have a special room or equipment?","Where do you usually watch movies home?","What's your favorite Streaming Platform? (Where do you usually download movies)","What is your Student ID?","What is your Age?","Are you a Student in FCDS?","If Yes, What's your major (Department)?","If No, What's your college major?","Please select your Gender.","Please let us know if you have any comments or suggestions on how we can improve this survey.","","","","","","","","","","","","","","","",""
"2023/04/20 4:00:02 AM GMT+2","This month","Three or four times","Social media and friends recommendations ","I don't go to the Cinema","Lucy","","Quality of Story","Action , adventure , Romance ,horror and drama ","","","","","","","","","","","Maybe","Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","","","","","","","","Before going to the Cinema","","Weekend - Evening","","Watch another movie","Yes","","","","","","20221461977","19","","","","Female","good job 🤗♥️","5","4","3","2","3","2","2","Home (On the Internet)","5","1","4","3","3","1","4","1"
"2023/04/23 3:08:46 PM GMT+2","This month","Three or four times","Friends Recommendations","I don't go to the Cinema","3 idiots","","Genre","Comedy","","","","","","","","","","","Yes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","","","","","","","","Before going to the Cinema","","Weekend - Evening","","Buy tickets for a later show","No","","","","","","20221509866 ","20","","","","Male","Seems to be good","4","5","5","1","4","3","5","Home (On the Internet)","5","2","4","5","5","5","3","2"
"2023/04/23 3:31:09 PM GMT+2","Less than a week","Once or twice","Friends Recommendations","Once or Twice a year","The devil's advocate ","","Quality of Story","Adventure","","","","","","","","","","","Yes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","","","","","","","","Before going to the Cinema","","Weekend - Evening","","Watch another movie","Yes","","","","","","20221469438","20","","","","Male","","5","5","2","3","1","3","4","Home (On the Internet)","5","2","5","4","3","4","1","3"
"2023/04/23 11:55:39 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","Once a month","The devil's advocate ","","Quality of Story","Action;Adventure;Comedy;Horror","","5","4","5","2","1","5","4","3","2","Yes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","2","1","4","5","","Before going to the Cinema","","Weekend - Evening","","Watch another movie","Yes","","","","","","20221469438","20","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/23 11:59:41 PM GMT+2","Less than a week","Less than once","Social Media (Viral Videos)","I don't go to the Cinema","Shutter Island ","","Quality of Story","Action;Adventure;Horror;Sci-fi or Fantasy","","3","5","3","3","3","4","5","3","5","Yes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","5","3","3","5","","Before going to the Cinema","","Weekend - Evening","","Find something else to do","No","","","","","","20221452375","20","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 1:06:16 AM GMT+2","Last Month","Once or twice","Social Media (Viral Videos)","Once or Twice a year","Interestellar","","Quality of Story","Action;Adventure;Romance;Sci-fi or Fantasy","","5","5","3","4","5","2","5","2","4","Sometimes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","5","4","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekday - Afternoon","","Find something else to do","Yes","","","","","","20221379966","20","","","","Female","Good job ","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 1:23:49 AM GMT+2","Less than a week","More than four times","Friends Recommendations","Once or Twice a year","Hacksaw ridge ","","Quality of Story","Drama;History ","","3","4","5","3","3","1","4","5","5","Sometimes","Friends' Opinions (who already watched it)","Viral Videos","Sometimes","5","4","3","3","3","4","","Before going to the Cinema","Friends Recommendations","Weekday - Evening","","Find something else to do","Yes","","","","","","20201447980","21","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 1:25:01 AM GMT+2","This month","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Maze runner","","Quality of Story","Action;Adventure;Sci-fi or Fantasy","","5","5","2","2","3","2","5","1","3","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Usually","5","5","5","4","3","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekday - Afternoon","","Watch another movie","Yes","","","","","","20221465749","20","","","","Female","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 1:25:43 AM GMT+2","Less than a week","More than four times","Trailers","Once a month","The fault of our stars","","Quality of Story","Drama","","4","4","1","4","4","3","5","5","3","Sometimes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","5","3","3","2","5","","In the Cinema","Trailers","Weekend - Evening","","Watch another movie","Yes","","","","","","20221381143","20","","","","Female","No , at all thanks alot ","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 1:30:24 AM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once or Twice a year","Comedy, romantic, Fantasia, drama ","","Quality of Story","Comedy;Drama;Romance;Sci-fi or Fantasy;Family","","2","2","5","5","5","3","5","3","5","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","4","2","4","5","5","","In the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Watch another movie","Yes","","","","","","20221451429","19","","","","Female","The survey was nice and fun","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:03:41 AM GMT+2","Less than a week","More than four times","Internet Sites","Once or Twice a year","Lord of the rings 3","","Directing","Adventure;Romance;Sci-fi or Fantasy;Super heroes movies, historical","","3","3","2","3","3","1","3","1","2","Yes","Internet Sites;Critical Reviews","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","4","1","1","4","3","","Before going to the Cinema","Internet Sites","Weekday - Evening","","Buy tickets for a later show","No","","","","","","20201446416","21","","","","Female","I just have a comment on how many times the questions about the cinema exist
I watch a lot of movies but I went to the cinema once in my life because it was a very special event
So I found that the questions about the cinema were too much 
But it was such a great questionaire I enjoyed it a lot 
Good luck🥰","","","","","","","","Home (On the Internet)","","","","","","","",""
